Qty, t
10, 0.000000
11, 1.198000
12, 3.088000
13, 3.513000
14, 4.329000
15, 4.618000
16, 5.288000
17, 6.313000
18, 6.621000
19, 7.647000
20, 8.038000
21, 8.495000
22, 8.848000
23, 9.658000
24, 9.880000
25, 10.404000
26, 10.689000
27, 11.202000
28, 13.476000
29, 14.398000
30, 15.977000
31, 17.171000
32, 18.176001
33, 18.698000
34, 19.191000
35, 19.900999
36, 20.808001
37, 21.243000
38, 21.510000
39, 22.732000
40, 24.424999
41, 25.200001
42, 26.049999
43, 26.846001
44, 30.480000
45, 31.232000
46, 31.896999
47, 33.382999
48, 34.270000
49, 34.616001
50, 37.070000
